group,replicate,fastq_1,fastq_2
96hr_10,1,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/april_96hr_10_A_S11_R1_001.fastq.gz,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/april_96hr_10_A_S11_R2_001.fastq.gz
96hr_10,2,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/april_96hr_10_B_S12_R1_001.fastq.gz,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/april_96hr_10_B_S12_R2_001.fastq.gz
96hr_10,3,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/may_96hr_10_A_S27_R1_001.fastq.gz,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/may_96hr_10_A_S27_R2_001.fastq.gz
96hr_10,4,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/may_96hr_10_B_S28_R1_001.fastq.gz,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/may_96hr_10_B_S28_R2_001.fastq.gz
96hr_50,1,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/april_96hr_50_A_S13_R1_001.fastq.gz,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/april_96hr_50_A_S13_R2_001.fastq.gz
96hr_50,2,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/april_96hr_50_B_S14_R1_001.fastq.gz,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/april_96hr_50_B_S14_R2_001.fastq.gz
96hr_50,3,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/may_96hr_50_A_S29_R1_001.fastq.gz,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/may_96hr_50_A_S29_R2_001.fastq.gz
96hr_50,4,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/may_96hr_50_B_S30_R1_001.fastq.gz,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/may_96hr_50_B_S30_R2_001.fastq.gz
96hr_100,1,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/april_96hr_100_A_S15_R1_001.fastq.gz,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/april_96hr_100_A_S15_R2_001.fastq.gz
96hr_100,2,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/april_96hr_100_B_S16_R1_001.fastq.gz,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/april_96hr_100_B_S16_R2_001.fastq.gz
96hr_100,3,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/may_96hr_100_A_S31_R1_001.fastq.gz,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/may_96hr_100_A_S31_R2_001.fastq.gz
96hr_100,4,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/may_96hr_100_B_S32_R1_001.fastq.gz,/burg/cgl/users/acs2330/220610_NS500289_1119_AHNYWCBGXL/outputs_fixed_samplesheet_11_16_22/may_96hr_100_B_S32_R2_001.fastq.gz
